0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/getImage.action?ImageID=105&type=employee HTTP/1.1" 200 120512
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/jquery.dataTables.min.js HTTP/1.1" 200 82654
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/angular.min.js HTTP/1.1" 200 159443
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/angular-animate.min.js HTTP/1.1" 200 25774
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/angular-datatables.min.js HTTP/1.1" 200 14158
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/angular-datatables.buttons.min.js HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/angular-materialize.min.js HTTP/1.1" 200 16374
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/bartstable.js HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/jquery.validate.js HTTP/1.1" 200 22691
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/maintenance-emp.js HTTP/1.1" 200 52973
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/additional.js HTTP/1.1" 200 13434
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/validation.js HTTP/1.1" 200 87110
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:05 +0800] "GET /SalonManagement/js/stepform.js HTTP/1.1" 200 14107
